Date,Adj Close,recomputed_log_return,rolling_vol_21,rolling_vol_21_annualized,vol_regime
2010-05-24,182.33,0.023136209102001176,0.016454305443068036,0.26120400119192694,high
2010-05-25,182.78,0.002465011792942364,0.016195552731436042,0.2570964292356757,high
2010-05-26,183.82,0.005673774085907875,0.01622883915516864,0.25762483483106274,high
2010-05-27,185.64,0.00985229644301164,0.01613232438788751,0.2560927103986359,high
2010-05-28,185.1,-0.0029130947935232317,0.016066436426936018,0.25504677144421123,high
2010-05-31,183.85,-0.006776011832170811,0.01614299617560894,0.25626211977676816,high
2010-06-01,183.07,-0.004251614384357709,0.016160486094678184,0.25653976363461534,high
2010-06-02,183.3,0.0012555614827361775,0.01615731678072961,0.2564894523354077,high
2010-06-03,186.38,0.016663445511849936,0.016266825206866956,0.2582278447075607,high
2010-06-04,189.19,0.014964200740818551,0.016180876061911317,0.2568634443298531,high
2010-06-08,197.23,0.023858908603274047,0.016185817595809542,0.25694188874859253,high
2010-07-28,229.72,0.05885501054669109,0.01737266446695246,0.27578249874074817,high
2010-07-29,232.17,0.010608685954381657,0.01665574143353545,0.2644016984071754,high
2010-07-30,231.24,-0.004013729736202037,0.01673506725403165,0.26566095676865004,high
2010-08-02,233.02,0.007668154577519815,0.016609641235183468,0.26366988044579487,high
2010-08-03,230.79,-0.009616080652842196,0.01694609482390329,0.26901091558660206,high
2010-08-04,230.23,-0.0024293968826740665,0.017022616497871294,0.27022565950195626,high
2010-08-05,231.02,0.0034254776042553416,0.01691855365856943,0.2685737131408602,high
2010-08-06,231.58,0.0024210993235927714,0.016927588015775746,0.2687171291153996,high
2010-08-09,236.43,0.02072679484954083,0.01716139786297094,0.2724287453739386,high
2010-08-10,236.89,0.0019437173363673623,0.016804487154636324,0.2667629635268828,high
2010-08-11,238.1,0.00509485512278163,0.016801907639196197,0.266722014988737,high
2010-08-12,237.69,-0.0017234498475568994,0.01660295612397915,0.26356375759539424,high
2010-08-13,235.79,-0.008025725262303956,0.01678312113307047,0.2664237884494622,high
2010-08-16,234.59,-0.005102268818034667,0.016740322748385782,0.26574438515511645,high
2010-08-17,233.71,-0.003758279033987771,0.016795647203788563,0.2666226336576115,high
2010-08-18,235.48,0.007544953629126753,0.016823334438552662,0.2670621548836727,high
2010-08-19,240.19,0.019804292645832458,0.017190260821082395,0.27288693062952607,high
2010-08-20,245.81,0.02312860298099711,0.017472092177484945,0.27736086471373306,high
2010-08-23,245.01,-0.003259853748596126,0.017520786396671074,0.27813386147925084,high
2010-08-24,245.97,0.00391055123790212,0.01750886529612125,0.2779446198747967,high
2010-10-28,235.25,0.05666594276267077,0.018477946837655027,0.29332831242904556,high
2010-10-29,239.51,0.017946391167266016,0.017602627766538915,0.2794330529490138,high
2010-11-01,241.05,0.006409211218876336,0.017648248030429636,0.28015725218701376,high
2010-11-02,248.87,0.03192629092408329,0.018791910027966055,0.2983123235633941,high
2010-11-03,240.15,-0.0356669436648813,0.02057260022006784,0.326579904025513,high
2010-11-04,237.31,-0.011896424806906579,0.020338977519236464,0.32287125862339866,high
2010-11-08,244.24,0.028784045122695754,0.021321403129826545,0.3384667817068515,high
2010-11-09,245.54,0.005308518326071294,0.021211586474699666,0.3367234963511795,high
2010-11-10,244.83,-0.002895774603432556,0.021177562393313417,0.33618338080356686,high
2010-11-11,236.22,-0.03580051796556011,0.022704613311964737,0.3604245626240716,high
2010-11-12,235.19,-0.004369876069905605,0.022723456176772565,0.3607236838296887,high
2010-11-15,237.36,0.009184277868770796,0.02260867579725655,0.3589016017921548,high
2010-11-16,236.9,-0.0019398648178265917,0.022354305191639237,0.354863593612305,high
2010-11-18,236.35,-0.0023243539254944037,0.0223607584196001,0.3549660354303333,high
